Danceability,Energy,Key,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,tag
0.742,0.675,8,-6.551,0.0907,0.139,0,0.167,0.679,145.989,energ
0.585,0.949,4,-5.149,0.0579,0.00853,0.00254,0.0547,0.735,156.022,energ
0.75,0.711,6,-13.75,0.172,0.603,3.19E-05,0.1,0.78,89.997,energ
0.759,0.85,7,-3.587,0.0374,0.00476,0,0.192,0.26,128.03,energ
0.704,0.611,2,-6.112,0.0409,0.217,0,0.0812,0.22,100,energ
0.824,0.81,11,-6.371,0.202,0.169,0,0.134,0.476,131.037,energ
0.694,0.898,5,-6.007,0.208,0.169,2.64E-05,0.171,0.701,111.747,energ
0.412,0.229,3,-11.837,0.0411,0.933,0,0.0997,0.279,121.942,energ
0.782,0.633,8,-4.644,0.341,0.0355,0,0.0615,0.749,150.055,energ
0.734,0.766,1,-6.44,0.0376,0.0497,0.000314,0.0931,0.832,132.064,energ
0.34,0.843,11,-4.789,0.356,0.0478,0,0.436,0.417,83.057,energ
0.592,0.728,2,-6.098,0.311,0.00148,0,0.379,0.577,113.17,energ
0.737,0.846,1,-4.51,0.22,0.00614,0,0.0486,0.546,87.981,energ
